ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,local,eficiencia
2024,7/29/2024,20,Arena Condá, Paulo Cesar Zanovelli,17621.0,22540.0,grêmio,vasco da gama,Renato Gaúcho,Rafael Paiva,17.0,12.0,4300.0,3130.0,30.4,28.7,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2024,7/18/2024,17,Estádio Antonio Accioly, Matheus Delgado Candançan,12089.0,13000.0,atlético-go,vasco da gama,Vagner Mancini,Rafael Paiva,19.0,11.0,1020.0,3080.0,27.1,27.7,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,vitoria,fora,
2024,7/21/2024,18,Arena MRV, Raphael Claus,42353.0,,atlético-mg,vasco da gama,Gabriel Milito,Rafael Paiva,8.0,12.0,5330.0,3080.0,29.1,27.7,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2024,7/7/2024,15,Estádio Beira-Rio, Gustavo Ervino Bauermann,41693.0,50848.0,internacional,vasco da gama,Eduardo Coudet,Rafael Paiva,9.0,14.0,2150.0,2345.0,29.6,26.2,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,vitoria,fora,
2024,7/11/2024,16,Estádio São Januário, Rafael Rodrigo Klein,23307.0,24584.0,vasco da gama,corinthians,Rafael Paiva,Raphael Laruccia,13.0,17.0,3080.0,5200.0,27.7,25.2,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2024,8/4/2024,21,Estádio São Januário, Gustavo Ervino Bauermann,17938.0,24584.0,vasco da gama,rb bragantino,Rafael Paiva,Pedro Caixinha,12.0,13.0,2408.0,2750.0,28.9,23.6,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,empate,casa,
2024,9/29/2024,28,Estádio Governador Magalhães Pinto, Matheus Delgado Candançan,56331.0,61927.0,cruzeiro,vasco da gama,Eduardo Barros,Rafael Paiva,8.0,9.0,4180.0,3805.0,27.9,27.9,1.0,1.0,0.0,1.0,11.0,4.0,7.0,6.0,6.0,6.0,3.0,5.0,1.0,0.0,15.0,13.0,8.0,6.0,empate,fora,0.07692307692307693
2024,5/12/2024,6,Estádio São Januário, Raphael Claus,11084.0,24584.0,vasco da gama,ec vitória,Rafael Paiva,Léo Condé,15.0,19.0,3085.0,1250.0,29.5,26.7,2.0,1.0,0.0,0.0,4.0,4.0,12.0,12.0,12.0,12.0,4.0,6.0,1.0,0.0,17.0,13.0,3.0,5.0,vitoria,casa,0.11764705882352941
2024,6/29/2024,13,Estádio São Januário, Ramon Abatti,16121.0,24584.0,vasco da gama,botafogo,Rafael Paiva,Artur Jorge,16.0,3.0,2660.0,3145.0,27.1,29.7,1.0,1.0,0.0,0.0,0.0,5.0,13.0,23.0,20.0,12.0,5.0,1.0,0.0,0.0,10.0,13.0,6.0,4.0,empate,casa,0.1
2024,6/27/2024,12,Arena Fonte Nova, João Vitor Gobi,38318.0,47364.0,ec bahia,vasco da gama,Rogério Ceni,Rafael Paiva,2.0,16.0,3795.0,2830.0,28.4,27.2,2.0,1.0,1.0,1.0,7.0,0.0,14.0,15.0,13.0,14.0,2.0,6.0,4.0,1.0,17.0,9.0,6.0,6.0,derrota,fora,0.1111111111111111
2024,9/15/2024,26,Estádio Jornalista Mário Filho, Raphael Claus,65200.0,78838.0,flamengo,vasco da gama,Tite,Rafael Paiva,4.0,9.0,6350.0,3000.0,29.5,29.9,1.0,1.0,0.0,0.0,5.0,6.0,10.0,10.0,10.0,8.0,1.0,2.0,3.0,1.0,17.0,9.0,9.0,3.0,empate,fora,0.1111111111111111
2024,6/14/2024,8,Allianz Parque, Ramon Abatti,37641.0,43713.0,palmeiras,vasco da gama,Abel Ferreira,Álvaro Pacheco,8.0,15.0,8070.0,2695.0,27.4,29.2,2.0,0.0,1.0,0.0,10.0,6.0,10.0,14.0,13.0,10.0,2.0,4.0,1.0,1.0,28.0,9.0,13.0,6.0,derrota,fora,0.0
2024,10/17/2024,30,Estádio Brinco de Ouro da Princesa, Davi de Oliveira Lacerda,15497.0,32039.0,são paulo,vasco da gama,Luis Zubeldía,Rafael Paiva,5.0,10.0,2685.0,3380.0,29.4,29.4,3.0,0.0,1.0,0.0,3.0,5.0,8.0,6.0,6.0,8.0,3.0,4.0,1.0,1.0,14.0,9.0,6.0,4.0,derrota,fora,0.0
2024,8/18/2024,23,Estádio Heriberto Hülse, Paulo Cesar Zanovelli,18403.0,19225.0,criciúma ec,vasco da gama,Cláudio Tencati,Rafael Paiva,11.0,10.0,620.0,3780.0,31.2,26.7,2.0,2.0,1.0,2.0,9.0,10.0,15.0,7.0,5.0,15.0,2.0,6.0,4.0,1.0,19.0,13.0,10.0,5.0,empate,fora,0.15384615384615385
2024,4/14/2024,1,Estádio São Januário, Flavio Rodrigues de Souza,18055.0,24584.0,vasco da gama,grêmio,Ramón Díaz,Renato Gaúcho,6.0,17.0,2545.0,4110.0,28.3,28.9,2.0,1.0,2.0,0.0,3.0,5.0,19.0,10.0,10.0,18.0,1.0,1.0,1.0,1.0,15.0,9.0,7.0,5.0,vitoria,casa,0.13333333333333333
